Date,Lieu,Ville,Type,Prix,Artiste,Image
22 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,MOZART A 3 CHEFS- WOLFGANG AMADEUS MOZART,https://static.ticketmaster.fr/static/images/vignettes/a_533495.gif
23 juin au 1 juil. 2023,OPERA COMIQUE,PARIS,CLASSIQUE ET OPERA - OPERA,55.0,ZEMIRE ET AZOR- NDRE-ERNEST-MODESTE GRETRY,https://static.ticketmaster.fr/static/images/vignettes/a_539221.gif
23 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,MOZART LA 40EME- WOLFGANG AMADEUS MOZART,https://static.ticketmaster.fr/static/images/vignettes/a_533490.gif
24 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,MOZART CONCERTO POUR CLARINETTE- WOLFGANG AMADEUS MOZART,https://static.ticketmaster.fr/static/images/vignettes/a_533494.gif
24 juin 2023,OPERA ROYAL,VERSAILLES,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,45.1,JEAN PHILIPPE RAMEAU,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
25 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,10.0,MOZART FLUTE ET HARPE- WOLFGANG AMADEUS MOZART,https://static.ticketmaster.fr/static/images/vignettes/a_533491.gif
25 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,JUPITER ULTIME SYMPHONIE- WOLFGANG AMADEUS MOZART- JOSEPH HAYDN,https://static.ticketmaster.fr/static/images/vignettes/a_533484.gif
27 juin 2023,SEINE MUSICALE,BOULOGNE BILLANCOURT,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,12.0,LES TALENS LYRIQUES- WOLFGANG AMADEUS MOZART,https://static.ticketmaster.fr/static/images/vignettes/a_533483.gif
14 au 15 juil. 2023,OPERA ROYAL,VERSAILLES,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,29.7,VIVALDI : LES 4 SAISONS,https://static.ticketmaster.fr/static/images/vignettes/a_534342.gif
2 nov. 2023,ZENITH DE ROUEN,LE GRAND QUEVILLY,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,51.0,CLAUDE LELOUCH,https://static.ticketmaster.fr/static/images/vignettes/a_543722.gif
3 nov. 2023,CARRE DES DOCKS,LE HAVRE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,51.0,CLAUDE LELOUCH,https://static.ticketmaster.fr/static/images/vignettes/n_claude-lelouch-symphonique.gif
10 nov. 2023,ZENITH DE CAEN,CAEN,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,51.0,CLAUDE LELOUCH,https://static.ticketmaster.fr/static/images/vignettes/a_543729.gif
8 dec. 2023,L'EMC2,ST GREGOIRE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,35.0,RIOPY,https://static.ticketmaster.fr/static/images/vignettes/n_riopy.gif
