Date,Lieu,Ville,Type,Prix,Artiste,Image
2 avr. 2023,THEATRE DE GRASSE,GRASSE,DANSE - DANSE CONTEMPORAINE,12.0,QUEEN BLOOD,https://static.ticketmaster.fr/static/images/vignettes/a_530971.gif
2 avr. 2023,ZENITH D'AUVERGNE,COURNON D AUVERGNE,DANSE - DANSE TRADITIONNELLE,45.0,IRISH CELTIC,https://static.ticketmaster.fr/static/images/vignettes/n_irish-celtic-le-chemin-des-legendes.gif
2 avr. 2023,LE LIBERTE,RENNES,DANSE - AUTRES DANSES,39.0,PIXEL,https://static.ticketmaster.fr/static/images/vignettes/n_pixel.gif
4 avr. 2023,CENTRE CULTUREL JULIOBONA,LILLEBONNE,DANSE - DANSE CONTEMPORAINE,7.0,COMPAGNIE CAS PUBLIC,https://static.ticketmaster.fr/static/images/vignettes/a_536217.gif
4 avr. 2023,SALLE OBINO,VITROLLES,DANSE - DANSE CONTEMPORAINE,17.0,QUEEN BLOOD,https://static.ticketmaster.fr/static/images/vignettes/a_533704.gif
4 avr. 2023,ARENA FUTUROSCOPE,CHASSENEUIL DU POITOU,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_525787.gif
5 avr. 2023,CENTRE CULTUREL PIERRE MESSMER,ST AVOLD,DANSE - DANSE TRADITIONNELLE,20.0,ENSEMBLE NATIONAL DE POLOGNE SLASK,https://static.ticketmaster.fr/static/images/vignettes/a_542294.gif
5 avr. 2023,PALAIS DES CONGRES,MONTELIMAR,DANSE - DANSE CLASSIQUE,27.0,LA BELLE AU BOIS DORMANT,https://static.ticketmaster.fr/static/images/vignettes/a_533497.gif
5 au 6 avr. 2023,THEATRE DE SAINT-QUENTIN-EN-YVELINES,ST QUENTIN YVELINES CEDEX,DANSE - DANSE CONTEMPORAINE,14.0,NULLE PART EST UN ENDROIT,https://static.ticketmaster.fr/static/images/vignettes/a_525828.gif
5 avr. 2023,ANTARES,LE MANS,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_522364.gif
6 avr. 2023,LA GARE,SAINT-JUÉRY,DANSE - FLAMENCO,19.0,UN WEEK-END AVEC ELLES- MODA FLAMENCA,https://static.ticketmaster.fr/static/images/vignettes/a_539918.gif
6 avr. 2023,ZENITH,ST ETIENNE,DANSE - DANSE CLASSIQUE,27.0,LA BELLE AU BOIS DORMANT,https://static.ticketmaster.fr/static/images/vignettes/a_533067.gif
6 avr. 2023,ZENITH DE ROUEN,LE GRAND QUEVILLY,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_522724.gif
7 avr. 2023,LE PALAIS D'AURON,BOURGES,DANSE - DANSE CLASSIQUE,27.0,LE LAC DES CYGNES,https://static.ticketmaster.fr/static/images/vignettes/a_537655.gif
7 avr. 2023,SCENEO,LONGUENESSE,DANSE - DANSE TRADITIONNELLE,45.0,IRISH CELTIC,https://static.ticketmaster.fr/static/images/vignettes/n_irish-celtic-le-chemin-des-legendes.gif
8 avr. 2023,"""LES QUATRE VENTS"" ESPACE CULTUREL",ROUZIERS DE TOURAINE,DANSE - DANSE HIP-HOP,7.0,BALLET BAR,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
8 avr. 2023,ELISPACE,BEAUVAIS,DANSE - DANSE TRADITIONNELLE,45.0,IRISH CELTIC,https://static.ticketmaster.fr/static/images/vignettes/n_irish-celtic-le-chemin-des-legendes.gif
11 avr. 2023,PALAIS DU GRAND LARGE,ST MALO,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES,https://static.ticketmaster.fr/static/images/vignettes/a_539715.gif
11 avr. 2023,L'ARCHIPEL,FOUESNANT,DANSE - DANSE CONTEMPORAINE,12.0,KAMUYOT,https://static.ticketmaster.fr/static/images/vignettes/a_539135.gif
11 avr. 2023,CENTRE ATHANOR,MONTLUCON,DANSE - DANSE CLASSIQUE,27.0,LE LAC DES CYGNES,https://static.ticketmaster.fr/static/images/vignettes/a_537653.gif
11 avr. 2023,THEATRE DE L'OLIVIER-SCENES ET CINES,ISTRES,DANSE - DANSE CONTEMPORAINE,11.0,CIE (LA)HORDE,https://static.ticketmaster.fr/static/images/vignettes/a_533018.gif
