Date,Lieu,Ville,Type,Prix,Artiste,Image
31 mars 2023,LE QUATRAIN,HAUTE GOULAINE,THEATRE - AUTRES THEATRE,10.0,CASSE CASH,https://static.ticketmaster.fr/static/images/vignettes/s_9920.gif
31 mars 2023,THEATRE DE FONTBLANCHE,VITROLLES,THEATRE - COMEDIE,17.0,UN DEMOCRATE,https://static.ticketmaster.fr/static/images/vignettes/a_533703.gif
31 mars 2023,THEATRE PIERRE CRAVEY,LA TESTE DE BUCH,THEATRE - THEATRE CLASSIQUE,12.0,LES FOURBERIES DE SCAPIN,https://static.ticketmaster.fr/static/images/vignettes/a_533435.gif
31 mars 2023,LE SABOT D'OR,ST GILLES,THEATRE - AUTRES THEATRE,11.0,BLACK MOUNTAIN,https://static.ticketmaster.fr/static/images/vignettes/a_532481.gif
31 mars 2023,THEATRE DES NOUVEAUTES,TARBES,THEATRE - COMEDIE,32.2,"""WOKNWOLL""",https://static.ticketmaster.fr/static/images/vignettes/a_531692.gif
31 mars 2023,THEATRE MUNICIPAL LE COLISEE,LENS,THEATRE - COMEDIE,19.5,BLACK COMEDY,https://static.ticketmaster.fr/static/images/vignettes/a_531482.gif
31 mars 2023,SALLE PLEYEL,PARIS,THEATRE - SEUL EN SCENE,35.0,ISABELLE ADJANI,https://static.ticketmaster.fr/static/images/vignettes/a_531110.gif
31 mars 2023,ESPACE JEAN POPEREN,MEYZIEU,THEATRE - COMEDIE,13.0,LA COMPAGNIE 172,https://static.ticketmaster.fr/static/images/vignettes/a_530172.gif
31 mars 2023,ESPACE  CULTUREL VICTOR HUGO,PUGET SUR ARGENS,THEATRE - COMEDIE,22.0,UNE ZIZE PEUT EN CACHER UNE AUTRE,https://static.ticketmaster.fr/static/images/vignettes/a_529538.gif
31 mars 2023,THEATRE DE THIONVILLE,THIONVILLE,THEATRE - COMEDIE,42.0,FALLAIT PAS LE DIRE,https://static.ticketmaster.fr/static/images/vignettes/n_fallait-pas-le-dire.gif
31 mars 2023,Théâtre Coluche,PLAISIR,THEATRE - AUTRES THEATRE,14.0,H.P.N.S MARCHE PIRATE SUR LE DARKNET,https://static.ticketmaster.fr/static/images/vignettes/a_528984.gif
31 mars 2023,SALLE MARCEL SEMBAT,CHALON SUR SAONE,THEATRE - COMEDIE,29.9,LA GUERRE DES SEXES,https://static.ticketmaster.fr/static/images/vignettes/n_la-guerre-des-sexes.gif
1 avr. 2023,SALLE DU TREPADE,FONSORBES,THEATRE - AUTRES THEATRE,10.0,LA CANDIDATE,https://static.ticketmaster.fr/static/images/vignettes/a_543783.gif
1 avr. 2023,"""LES QUATRE VENTS"" ESPACE CULTUREL",ROUZIERS DE TOURAINE,THEATRE - THEATRE CONTEMPORAIN,7.0,DIEU MR HAFFMANN,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
1 avr. 2023,LE NAUTILE,LA FORET FOUESNANT,THEATRE - COMEDIE,24.0,PETITS CRIMES ENTRE AMIS,https://static.ticketmaster.fr/static/images/vignettes/a_541099.gif
1 avr. 2023,ESPACE ANDRE MALRAUX,CHATEAUDUN,THEATRE - COMEDIE,13.0,CENDRILLON,https://static.ticketmaster.fr/static/images/vignettes/a_537645.gif
1 avr. 2023,ESPACE ANDRE MALRAUX,CHATEAUDUN,THEATRE - COMEDIE,17.0,"""DOS VS PARENTS MODE DEMPLOI""",https://static.ticketmaster.fr/static/images/vignettes/n_ados-vs-parents-mode-d-emploi.gif
1 avr. 2023,ESPACE ANDRE MALRAUX,CHATEAUDUN,THEATRE - COMEDIE,28.0,LE CLAN DES DIVORCEES,https://static.ticketmaster.fr/static/images/vignettes/n_le-clan-des-divorcees.gif
1 avr. 2023,THEATRE MUNICIPAL D'AUTUN,AUTUN,THEATRE - COMEDIE,5.0,MADAME PYLINSKA,https://static.ticketmaster.fr/static/images/vignettes/a_536981.gif
1 avr. 2023,L'ARTEA DE CARNOUX,CARNOUX EN PROVENCE,THEATRE - COMEDIE,26.2,CHRONIQUES MARSEILLAISES,https://static.ticketmaster.fr/static/images/vignettes/a_536665.gif
1 avr. 2023,CENTRE CULTUREL JOVENCE,LOUVIGNE DU DESERT,THEATRE - AUTRES THEATRE,15.0,ROSE,https://static.ticketmaster.fr/static/images/vignettes/a_536558.gif
1 avr. 2023,THEATRE DU CLOITRE,BELLAC,THEATRE - THEATRE CONTEMPORAIN,6.0,"""ULYSSE OU LIMPOSSIBLE RETOUR""",https://static.ticketmaster.fr/static/images/vignettes/a_535113.gif
