Date,Lieu,Ville,Type,Prix,Artiste,Image
15 au 16 avr. 2023,CASINO,TOULOUSE,SPECTACLE ET COMEDIE MUSICALE - MAGIE,20.0,FESTIVAL INTERNATIONAL DE MAGIE,https://static.ticketmaster.fr/static/images/vignettes/a_530454.gif
28 oct. 2023,PARIS LA DEFENSE ARENA,NANTERRE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,49.0,CORSU MEZU MEZU,https://static.ticketmaster.fr/static/images/vignettes/a_530200.gif
11 mars 2022 au 19 mars 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
29 sept. 2022 au 26 mars 2023,BOBINO,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,BLACK LEGENDS,https://static.ticketmaster.fr/static/images/vignettes/a_524323.gif
13 au 15 janv. 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
23 fevr. au 2 avr. 2023,PALAIS DES CONGRES DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,44.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_523648.gif
7 au 8 mars 2023,ZENITH SUD MONTPELLIER,MONTPELLIER,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/a_500109.gif
6 au 8 janv. 2023,ARKEA ARENA,FLOIRAC,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
16 mars 2023,ZENITH EUROPE STRASBOURG,ECKBOLSHEIM,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,45.5,MESSMER,https://static.ticketmaster.fr/static/images/vignettes/n_messmer.gif
17 au 19 mars 2023,ZENITH D'AMIENS,AMIENS,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,35.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
28 au 29 mars 2023,ANTARES,LE MANS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
14 au 16 avr. 2023,AREN'ICE,CERGY,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,19.9,HOLIDAY ON ICE- SUPERNOVA,https://static.ticketmaster.fr/static/images/vignettes/a_522675.gif
22 avr. 2023,ARKEA ARENA,FLOIRAC,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
21 au 29 janv. 2023,PALAIS DES CONGRES DE PARIS,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,28.0,NOE - LA FORCE DE VIVRE,https://static.ticketmaster.fr/static/images/vignettes/a_540779.gif
