Date,Lieu,Ville,Type,Prix,Artiste,Image
3 fevr. 2023,THEATRE LE COLBERT,TOULON,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,24.0,DONOVAN,https://static.ticketmaster.fr/static/images/vignettes/a_537884.gif
3 fevr. 2023,LE SCENACLE,BESANCON,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,20.0,URBAIN,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
3 fevr. 2023,CENTRE CULTUREL JULIOBONA,LILLEBONNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,7.0,DAKH DAUGHTERS,https://static.ticketmaster.fr/static/images/vignettes/a_536211.gif
3 fevr. 2023,SALLE JEAN VILAR,BLENOD LES PONT A MOUSSON,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,22.0,DENISE,https://static.ticketmaster.fr/static/images/vignettes/n_denise.gif
3 fevr. 2023,CINEMA,ST VINCENT DE TYROSSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,25.0,JONATHAN LAMBERT,https://static.ticketmaster.fr/static/images/vignettes/a_533530.gif
3 fevr. 2023,CASINO PARTOUCHE DE HYERES LES PALMIERS,HYERES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,MADAME FRAIZE,https://static.ticketmaster.fr/static/images/vignettes/n_madame-fraize.gif
3 au 4 fevr. 2023,THEATRE MUNICIPAL,MURET,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,20.0,SAIGNANT MAIS JUSTE A POINT,https://static.ticketmaster.fr/static/images/vignettes/a_531830.gif
3 fevr. 2023,LE PHARE,ST COULOMB,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,38.0,ROLAND MAGDANE,https://static.ticketmaster.fr/static/images/vignettes/a_531160.gif
3 fevr. 2023,AUDITORIUM MEGACITE,AMIENS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,40.0,FABIEN OLICARD,https://static.ticketmaster.fr/static/images/vignettes/n_fabien-olicard.gif
3 fevr. 2023,ESPACE THEODORE GOUVY,FREYMING MERLEBACH,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,24.0,TANIA DUTEL,https://static.ticketmaster.fr/static/images/vignettes/a_529830.gif
3 fevr. 2023,MAISON DU PEUPLE,BELFORT,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,39.0,JEROME NIEL,https://static.ticketmaster.fr/static/images/vignettes/n_jerome-niel.gif
3 fevr. 2023,PALAIS DES CONGRES-LE MANS,LE MANS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,38.0,CAMILLE LELLOUCHE,https://static.ticketmaster.fr/static/images/vignettes/n_camille-lellouche.gif
3 fevr. 2023,ESPACE ANDRE MALRAUX,CHATEAUDUN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,49.0,NNE ROUMANOFF,https://static.ticketmaster.fr/static/images/vignettes/a_527672.gif
3 au 4 fevr. 2023,THEATRE A L'OUEST,AURAY,HUMOUR ET ONE (WO)MAN SHOW - CAFE THEATRE,22.0,"""LAVENTURA""- LOU VOLT & ERIC TOULIS",https://static.ticketmaster.fr/static/images/vignettes/a_525714.gif
3 fevr. 2023,THEATRE DE LA FLEURIAYE,CARQUEFOU,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,35.0,90 MINUTES AVEC ANTOINE DULERY,https://static.ticketmaster.fr/static/images/vignettes/a_523478.gif
3 fevr. 2023,CASINO D'ARRAS,ARRAS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,37.0,LAURA LAUNE,https://static.ticketmaster.fr/static/images/vignettes/n_laura-laune.gif
3 fevr. 2023,ESPACE 2000,GRAND CHAMP,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,37.0,PAUL MIRABEL,https://static.ticketmaster.fr/static/images/vignettes/n_paul-mirabel.gif
3 fevr. 2023,ELISPACE,BEAUVAIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
3 fevr. 2023,THEATRE GALLI,SANARY SUR MER,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,40.5,BERNARD MABILLE,https://static.ticketmaster.fr/static/images/vignettes/n_bernard-mabille.gif
4 fevr. 2023,LA LUNA NEGRA,BAYONNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,20.0,FARID EST SAGE,https://static.ticketmaster.fr/static/images/vignettes/a_543311.gif
4 au 18 fevr. 2023,THEATRE A L’OUEST DE LYON,DECINES CHARPIEU,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,10.0,LEO LE PETIT ROBOT,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
4 au 5 fevr. 2023,THEATRE A L’OUEST DE LYON,DECINES CHARPIEU,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,24.0,DONOVAN,https://static.ticketmaster.fr/static/images/vignettes/n_donovan.gif
4 fevr. 2023,NUL BARD AILLEURS,BARD,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,24.0,FREDERIC FROMET- RCOMIK FESTIVAL,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
4 fevr. 2023,THEATRE LE RHONE,BOURG LES VALENCE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,30.0,MINE RADI,https://static.ticketmaster.fr/static/images/vignettes/n_amine-radi.gif
4 fevr. 2023,THEATRE LE COLBERT,TOULON,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,27.2,LES JUMEAUX,https://static.ticketmaster.fr/static/images/vignettes/n_les-jumeaux.gif
4 fevr. 2023,ESPACE ALBERT GIRALDI,GEMENOS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,26.2,YVES PUJOL,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
4 fevr. 2023,LE CASTEL,CHATEAUBERNARD,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,36.2,CHRISTELLE CHOLLET,https://static.ticketmaster.fr/static/images/vignettes/n_christelle-chollet.gif
4 fevr. 2023,GRAND THEATRE DE CALAIS,CALAIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.2,LIANE FOLY,https://static.ticketmaster.fr/static/images/vignettes/a_534154.gif
4 fevr. 2023,ESPACE CULTUREL,ROMBAS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,30.2,BAPTISTE LECAPLAIN,https://static.ticketmaster.fr/static/images/vignettes/n_baptiste-lecaplain.gif
4 fevr. 2023,THEATRE 100 NOMS,NANTES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,20.0,CHARLOTTE BOISSELIER,https://static.ticketmaster.fr/static/images/vignettes/n_charlotte-boisselier.gif
4 fevr. 2023,SALLE MARCEL SEMBAT,CHALON SUR SAONE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,33.0,DJIMO,https://static.ticketmaster.fr/static/images/vignettes/n_djimo.gif
4 au 5 fevr. 2023,THEATRE A L'OUEST,ROUEN,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,27.2,J’EN AI PLEIN LES GOSSES,https://static.ticketmaster.fr/static/images/vignettes/a_527257.gif
4 fevr. 2023,ESPACE FLANDRE-HAZEBROUCK,HAZEBROUCK,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,37.5,RNAUD DUCRET,https://static.ticketmaster.fr/static/images/vignettes/n_arnaud-ducret.gif
4 fevr. 2023,OCEANIS,PLOEMEUR,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,NTOINE DULERY- 90 MINUTES AVEC ANTOINE DULERY,https://static.ticketmaster.fr/static/images/vignettes/n_90-minutes-avec-antoine-dulery.gif
4 fevr. 2023,LE K,REIMS TINQUEUX,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,LAURA LAUNE,https://static.ticketmaster.fr/static/images/vignettes/a_523421.gif
4 fevr. 2023,SCENEO,LONGUENESSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,45.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
4 fevr. 2023,THEATRE CHANZY,ANGERS,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,37.0,THOMAS VDB,https://static.ticketmaster.fr/static/images/vignettes/n_thomas-vdb.gif
4 fevr. 2023,CENTRE DES CONGRES D'ANGERS,ANGERS,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,25.0,PAUL MIRABEL,https://static.ticketmaster.fr/static/images/vignettes/n_paul-mirabel.gif
5 fevr. 2023,NOVOTEL ATRIA,NIMES,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,32.0,MINE RADI,https://static.ticketmaster.fr/static/images/vignettes/n_amine-radi.gif
5 fevr. 2023,LA COMEDIE D'AIX,AIX EN PROVENCE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,30.2,LES FRENCH TWINS- LES FRENCHS TWINS,https://static.ticketmaster.fr/static/images/vignettes/n_les-french-twins.gif
5 fevr. 2023,MAISON DE QUARTIER VILLEJEAN,RENNES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,17.0,"""ON EST TOUS LE CON DUN AUTRE- ENFIN YEN A QUI ONT DE LAVANCE""",https://static.ticketmaster.fr/static/images/vignettes/a_526236.gif
5 fevr. 2023,LE K,REIMS TINQUEUX,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,29.0,THOMAS MARTY,https://static.ticketmaster.fr/static/images/vignettes/n_thomas-marty.gif
5 fevr. 2023,ESPACE ENCAN,LA ROCHELLE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,PAUL MIRABEL,https://static.ticketmaster.fr/static/images/vignettes/n_paul-mirabel.gif
6 fevr. 2023,THEATRE SEBASTOPOL,LILLE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,22.0,MON PREMIER GALA : GuiHome,https://static.ticketmaster.fr/static/images/vignettes/s_29.gif
7 au 11 fevr. 2023,THEATRE A L’OUEST DE LYON,DECINES CHARPIEU,HUMOUR ET ONE (WO)MAN SHOW - CAFE THEATRE,22.0,FRANCOIS MARTINEZ,https://static.ticketmaster.fr/static/images/vignettes/n_francois-martinez.gif
7 au 11 fevr. 2023,COMPAGNIE DU CAFE THEATRE,NANTES,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,24.0,LAURENT BARAT,https://static.ticketmaster.fr/static/images/vignettes/a_536945.gif
7 fevr. 2023,NARBONNE ARENA,NARBONNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,48.0,VERONIC DICAIRE,https://static.ticketmaster.fr/static/images/vignettes/n_veronic-dicaire.gif
8 au 9 fevr. 2023,THEATRE A L'OUEST,ROUEN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,22.0,DENISE,https://static.ticketmaster.fr/static/images/vignettes/n_denise.gif
8 fevr. 2023,OPERA-THEATRE,CLERMONT FERRAND,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,VINCENT MOSCATO,https://static.ticketmaster.fr/static/images/vignettes/n_moscato-completement-jojo.gif
8 au 9 fevr. 2023,THEATRE A L'OUEST,CAEN,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,24.0,GUILLAUME BATS,https://static.ticketmaster.fr/static/images/vignettes/n_guillaume-bats.gif
8 fevr. au 4 mai 2023,THEATRE 100 NOMS,NANTES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,27.0,FRANJO,https://static.ticketmaster.fr/static/images/vignettes/a_535657.gif
