Date,Lieu,Ville,Type,Prix,Artiste,Image
31 mai 2022 au 31 juil. 2023,CINEMATHEQUE FRANCAISE,PARIS,EXPOSITION ET MUSEE - EXPOSITION,5.1,CINEMATHEQUE FRANCAISE- MUSEE MELIES,https://static.ticketmaster.fr/static/images/vignettes/a_533592.gif
1 juil. au 31 dec. 2022,CHOCO-STORY COLMAR,COLMAR,EXPOSITION ET MUSEE - EXPOSITION,10.5,CHOCO STORY,https://static.ticketmaster.fr/static/images/vignettes/a_528084.gif
1 juil. au 31 dec. 2022,CHOCO-STORY COLMAR,COLMAR,EXPOSITION ET MUSEE - EXPOSITION,40.0,CHOCO STORY,https://static.ticketmaster.fr/static/images/vignettes/a_528083.gif
1 juil. au 31 dec. 2022,CHOCO-STORY COLMAR,COLMAR,EXPOSITION ET MUSEE - EXPOSITION,7.5,CHOCO STORY,https://static.ticketmaster.fr/static/images/vignettes/a_528082.gif
1 juil. au 31 dec. 2022,LE MUSEE GOURMAND DU CHOCOLAT,PARIS,EXPOSITION ET MUSEE - MUSEE,11.5,CHOCO STORY,https://static.ticketmaster.fr/static/images/vignettes/a_528081.gif
1 juil. au 31 dec. 2022,LE MUSEE GOURMAND DU CHOCOLAT,PARIS,EXPOSITION ET MUSEE - MUSEE,40.0,CHOCO STORY,https://static.ticketmaster.fr/static/images/vignettes/a_528080.gif
1 juil. au 31 dec. 2022,LE MUSEE GOURMAND DU CHOCOLAT,PARIS,EXPOSITION ET MUSEE - MUSEE,8.5,CHOCO STORY,https://static.ticketmaster.fr/static/images/vignettes/a_528079.gif
14 sept. 2022 au 15 janv. 2023,MUSEE DU LUXEMBOURG,PARIS,EXPOSITION ET MUSEE - EXPOSITION,10.5,MIROIR DU MONDE - DRESDE - EXPO- MUSEE DU LUXEMBOURG,https://static.ticketmaster.fr/static/images/vignettes/a_529705.gif
17 sept. 2022 au 12 janv. 2023,MUSEE DU LUXEMBOURG,PARIS,EXPOSITION ET MUSEE - EXPOSITION,8.0,MIROIR DU MONDE - DRESDE - EXPO- MUSEE DU LUXEMBOURG,https://static.ticketmaster.fr/static/images/vignettes/a_529707.gif
18 sept. 2022 au 8 janv. 2023,MUSEE DU LUXEMBOURG,PARIS,EXPOSITION ET MUSEE - EXPOSITION,8.0,MIROIR DU MONDE - DRESDE - EXPO- MUSEE DU LUXEMBOURG,https://static.ticketmaster.fr/static/images/vignettes/a_529708.gif
