Date,Lieu,Ville,Type,Prix,Artiste,Image
24 mars 2023,LA BULLE CAFE,LILLE,CONCERT - JAZZ,24.0,ONE SHOT,https://static.ticketmaster.fr/static/images/vignettes/a_541467.gif
24 mars 2023,CCM JOHN LENNON,LIMOGES,CONCERT - VARIETE ET CHANSON FRANCAISE,22.0,HK,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
24 mars 2023,Le Forum,VAUREAL,CONCERT - HARD METAL,15.0,PERFECTO ET MUDWEISER,https://static.ticketmaster.fr/static/images/vignettes/a_541057.gif
24 mars 2023,LE BIKINI,RAMONVILLE ST AGNE,CONCERT - MUSIQUE ELECTRONIQUE,28.0,FAKEAR,https://static.ticketmaster.fr/static/images/vignettes/n_fakear.gif
24 mars 2023,SALLE JEAN CARMET,ALLONNES,CONCERT - POP ROCK FOLK,19.0,HANNAH FEATHERSTONE- NOVEMBER ULTRA,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
24 mars 2023,LE TRANSBORDEUR,VILLEURBANNE,CONCERT - POP ROCK FOLK,29.7,LOLO ZOUAI,https://static.ticketmaster.fr/static/images/vignettes/n_lolo-zouai.gif
24 mars 2023,LE PERISCOPE,LYON,CONCERT - POP ROCK FOLK,15.0,BILLY NOMATES,https://static.ticketmaster.fr/static/images/vignettes/a_539321.gif
24 mars 2023,EGLISE ST MARTIN,ERSTEIN,CONCERT - VARIETE ET CHANSON FRANCAISE,43.0,HUGUES AUFRAY,https://static.ticketmaster.fr/static/images/vignettes/n_hugues-aufray.gif
24 mars 2023,LE TRIANON,PARIS,CONCERT - POP ROCK FOLK,22.0,CACHEMIRE,https://static.ticketmaster.fr/static/images/vignettes/a_538172.gif
24 mars 2023,LA LAITERIE,STRASBOURG,CONCERT - BLUES COUNTRY,28.2,NA POPOVIC,https://static.ticketmaster.fr/static/images/vignettes/a_537867.gif
24 mars 2023,LE MOULIN,MARSEILLE,CONCERT - REGGAE SKA DUB,30.0,DUB INC,https://static.ticketmaster.fr/static/images/vignettes/a_537693.gif
24 mars 2023,L'EMC2,ST GREGOIRE,CONCERT - VARIETE ET CHANSON FRANCAISE,39.0,ISABELLE BOULAY,https://static.ticketmaster.fr/static/images/vignettes/n_isabelle-boulay.gif
24 mars 2023,CASINO DU VAL ANDRE,PLENEUF VAL ANDRE,CONCERT - VARIETE ET CHANSON FRANCAISE,42.5,LAN STIVELL,https://static.ticketmaster.fr/static/images/vignettes/n_alan-stivell.gif
24 mars 2023,BOEUF SUR LE TOIT,LONS LE SAUNIER,CONCERT - POP ROCK FOLK,30.2,CHARLIE WINSTON,https://static.ticketmaster.fr/static/images/vignettes/n_charlie-winston.gif
24 mars 2023,CASINO PARTOUCHE DE HYERES LES PALMIERS,HYERES,CONCERT - VARIETE ET CHANSON FRANCAISE,21.0,BANDE A PART,https://static.ticketmaster.fr/static/images/vignettes/a_535733.gif
24 mars 2023,LE ROCKSTORE,MONTPELLIER,CONCERT - RAP HIP-HOP SLAM,25.0,YOUV DEE,https://static.ticketmaster.fr/static/images/vignettes/a_535360.gif
24 mars 2023,ZENITH DE NANCY,MAXEVILLE,CONCERT - RAP HIP-HOP SLAM,39.0,LOMEPAL,https://static.ticketmaster.fr/static/images/vignettes/n_lomepal.gif
24 mars 2023,SALLE DE L'AGORA,COMMENTRY,CONCERT - JAZZ,20.0,LES TROMPETTES DE LYON,https://static.ticketmaster.fr/static/images/vignettes/a_532859.gif
24 mars 2023,CENTRE MUNICIPAL CULTURE ET LOISIRS,GAP,CONCERT - JAZZ,14.0,NICOLAS FOLMER- LUC FENOLI TRIO,https://static.ticketmaster.fr/static/images/vignettes/a_532629.gif
24 mars 2023,CAC,CONCARNEAU,CONCERT - VARIETE ET CHANSON FRANCAISE,8.0,PAUL- LOUISE- SUSY ET MOI,https://static.ticketmaster.fr/static/images/vignettes/a_532520.gif
24 mars 2023,CENTRE GERARD PHILIPPE,CALAIS,CONCERT - JAZZ,14.0,YAZZ AHMED,https://static.ticketmaster.fr/static/images/vignettes/a_532332.gif
24 mars 2023,OCEANIS,PLOEMEUR,CONCERT - MUSIQUE TRADITIONNELLE,13.0,HOMMAGE A YANN FANCH KEMENER,https://static.ticketmaster.fr/static/images/vignettes/a_531894.gif
